	exec_time	trans_no	weight	percent
0	170	76	0.0	0.0082
1	175	2187	0.11	0.6056
2	180	32730	1.64	8.6631
3	185	46747	2.34	28.1787
4	190	40883	2.04	50.6075
5	195	27933	1.4	67.58189999999999
6	200	13154	0.66	77.0109
7	205	5222	0.26	80.985
8	210	2427	0.12	82.6636
9	215	1402	0.07	83.5375
10	220	1009	0.05	84.1129
11	225	954	0.05	84.5798
12	230	1159	0.06	85.11
13	235	1625	0.08	85.812
14	240	2365	0.12	86.8465
15	245	3494	0.17	88.35650000000001
16	250	5061	0.25	90.5853
17	255	5750	0.29	93.4214
18	260	4762	0.24	96.0322
19	265	3033	0.15	97.8575
20	270	1526	0.08	98.88860000000001
21	275	629	0.03	99.3664
22	280	214	0.01	99.5506
23	285	73	0.0	99.6117
24	290	23	0.0	99.63250000000001
25	295	13	0.0	99.6401
26	300	5	0.0	99.6444
27	305	8	0.0	99.6478
28	310	6	0.0	99.65079999999999
29	315	3	0.0	99.653
30	320	4	0.0	99.6546
31	325	4	0.0	99.6558
32	330	1	0.0	99.656
33	340	2	0.0	99.6567
34	360	1	0.0	99.6571
35	380	1	0.0	99.6573
36	385	4	0.0	99.658
37	390	33	0.0	99.6697
38	395	58	0.0	99.6958
39	400	20	0.0	99.7148
40	405	10	0.0	99.7197
41	410	11	0.0	99.7245
42	415	12	0.0	99.7308
43	420	18	0.0	99.7402
44	425	13	0.0	99.7483
45	430	8	0.0	99.7544
46	435	19	0.0	99.7611
47	440	13	0.0	99.767
48	445	26	0.0	99.7762
49	450	36	0.0	99.7907
50	455	55	0.0	99.8163
51	460	55	0.0	99.8454
52	465	42	0.0	99.8704
53	470	20	0.0	99.8887
54	475	17	0.0	99.902
55	480	13	0.0	99.9089
56	485	5	0.0	99.9138
57	490	5	0.0	99.9185
58	495	3	0.0	99.921
59	500	7	0.0	99.9258
60	505	15	0.0	99.9327
61	510	22	0.0	99.9413
62	515	24	0.0	99.95150000000001
63	520	25	0.0	99.96199999999999
64	525	22	0.0	99.9721
65	530	14	0.0	99.9805
66	535	10	0.0	99.9869
67	540	5	0.0	99.99130000000001
68	545	8	0.0	99.99430000000001
69	550	3	0.0	99.9955
70	1005	1	0.0	99.9963
71	1010	1	0.0	99.9966
72	1015	1	0.0	99.9971
73	1460	1	0.0	99.9987
74	1475	1	0.0	99.9988
75	7835	1	0.0	99.9999
